Name,Topic,Title,Abstract
Ariana Collins,Philosophy,The Meaning of Suffering,"In  this paper I analyze the nature of suffering. Evidently wars occur, people suffer in famine, poverty, starvation, homelessness, and in the challenges of everyday life. This provoked the question, what is suffering? In what ways can a person suffer? Is there meaning in this suffering? Coming to understand suffering and the pathway to overcoming suffering can very well change our outlook when we do inevitably come to suffer. Not only this, it may change the manner in which we suffer. When we turn inwards thus becoming bitter, miserable, and vengeful it affects our ability to live the good life. In encountering the philosophy of Freidrich Nietzsche, I was enticed to look further into the effects of suffering. Especially because he views suffering as fundamental to the human condition. I engage Arthur Schopenhauer as an opposer to my thesis citing his pessimistic philosophy of suffering. Then using particular cases regarding extreme suffering such as Holocaust survivors Jean Amery and Viktor Frankl. Showing how meaning can be born of suffering. Thus, arguing that meaning is born from the suffering endured in life which aids the human person in the pursuit of the good life."
"Miranda Bruhn, Rebecca Rich, Stephanie Hodges",Nursing,Telehealth is a sustainable adjunct to in-person routine medical visits,"In this current age, is telehealth a lasting solution to increasing accessibility when used in replacement of office visits? During COVID-19, telehealth became well known due to its increased utilization to prevent contraction of the virus. This introduced the need to have a virtual option for patients to access health care for various reasons. These reasons include, but are not limited to: immunocompromised, socioeconomic status, elderly, disabled, limited or no transportation, rural areas, and busy work lives. Telehealth is an alternative to in-person visits because it allows patients to have an increased amount of positive health outcomes and lowered overall cost. Telehealth, also called telemedicine, is the use of virtual meetings to connect with health care staff. Whereas, in person office visits refer to appointments that take place in hospitals, clinics, or other health care locations. The purpose of this project is to highlight the indispensability of telehealth post COVID-19. Telehealth has multiple benefits that can be utilized, such as decreased cost, increased accessibility, and convenience, making it a viable option in partnership with the in-person visit."
Tristan Gallagher,Honors Scholar,The Struggle for Hope: Exploring the Human Condition Through Hobbes and Eliot,"What is most necessary to improve the human condition? What are the greatest dangers to human societies? Both 17th-century political philosopher Thomas Hobbes and 20th-century poet T.S. Eliot struggle to find hope for the human condition within their respective periods. Through the theory of Hobbes and the experience of Eliot, a greater understanding of human nature can be inferred. This comparison reveals two different kinds of hope. Eliot views human nature as something inherently good and believes in the ability for regrowth and positive progression. Hobbes is pessimistic about the human condition and therefore believes there is a limit to the progress of humankind. Neither Hobbes nor Eliot have a complete understanding of the complexity of human nature, nor do they have the answers as to why society isn’t better. But they do illuminate the aspects of human nature that both cause suffering and healing, allowing for a hopeful outlook on the future of humankind. By comparing Hobbes and Eliot, human nature can be explored and the human condition illuminated, as both struggle to find hope in the contemporary human condition."
"Hailey Camp, Makayla Bury, Cormac Benn",Elementary & Special Education,Quality vs. Quantity in Staffing,"Is maintaining a better qualified and fairly compensated staff more effective in providing special education services than increasing the number of staff members with potentially varied levels of expertise? As debates over funding have been predominant within education-related news over the past decade, we were curious about how limited funding is best spent. We hope that through this research, we’ll better grasp how resource allocation and equity of services can impact student outcomes. Our methods involve researching various recent primary sources regarding this topic while also conducting interviews with members of the Helena School District and possibly a mental health funds director for Child and Protective Service (CPS). We believe these sources will give us a better grasp on factors within special education that are often overlooked, therefore helping answer our research question. Our results will inform us and other educators on the most effective allocation of limited resources within special education. This could potentially lead to improved student outcomes through better-targeted investments in staff qualifications."
Delaney Boyle,International Relations,"Bridging the Divide: A Study on the Role of Gender Equality, Civil Society Groups, and Levels of Peace","A growing body of literature explores the relationship between gender equality and corresponding levels of peace within countries. Some scholars argue that female involvement in peace-making processes can significantly increase quality and durability. This may be because civil society groups act as ‘linkages’ between elites and the masses, which may help improve the terms of agreements or persuade a wider set of people to help sustain peace. More generally, scholars argue that civil society groups operate externally from government structures, garnering broad support for peace and providing a means for people with limited access to become involved in politics. I conducted a quantitative analysis of 32 African countries from 2019 to 2021 to test the relationship between levels of conflict and rates of female participation in civil society groups, particularly in countries where women have less formal power in parliaments. Additionally, I assessed development gaps between males and females to assess the broader relevance of gender equality. I found that female involvement in civil society groups was a strong indicator of peace, particularly where there was less official involvement in parliament. Greater gaps in development between males and females were linked to more intense conflict in the given period. These findings imply that fostering gender equality can have various positive implications for societies, particularly because it has the capability to decrease the severity and intensity of conflict."
"Kaden Gardner, Caleb Hoxie",Engineering,Residential Wind Turbine Design,"Utility Mapping Services (UMS, Clancy, MT) presented students in the Carroll College Senior Engineering Design Class with the opportunity to complete an engineering design for a Skystream 3.7 wind turbine. We are specifically tasked with choosing a preferred project location from seven alternatives. After a project location was selected, we are now preparing a foundation design for the wind turbine. UMS also tasked us with providing professional construction documents to give to a contractor to implement our design. When choosing a preferred project location we took into several factors. The Skystream 3.7 wind turbine has several design requirements that the selected project location needed to meet. This included undisturbed area, available height, and a minimum wind speed. Other considerations were how close the project site is to where the wind turbine is currently being stored in Jefferson City, Montana. Using the design requirements and location consideration, 8 Kestrel Drive Jefferson City, Montana was chosen as the project location. After picking a project location we have moved forward with designing an appropriate foundation and preparing the construction documents for UMS. The foundation design will be done to meet the design requirements for keeping the wind turbine erected for the design life. We believe that we have chosen a design location that meets the design requirements and is near the wind turbine’s current location. With this we have also produced a foundation design that is structurally sound for the duration of the wind turbine’s design life."
Natalie Bahou,History,The 1948 Palestinian Nakba: Origins and Effects on Refugees,"In 1948, when the state of Israel was created, thousands of Palestinians were forced to flee their homeland. Called the Nakba, which means catastrophe, this event changed around seven hundred thousand people’s lives. Some stayed in what would later become the Palestinian territories. Many fled to other countries - some neighboring Arab countries, others went to America. As the Arab-Israeli conflict deepened over the next seventy years, Palestinians would continue to be affected, for example with events in 1967. My paper examines what happened to the refugees of the 1948 Nakba. Where did they go? How were they affected by this tragic event? How did they rebuild their lives? Psychologically, how did that impact them for the rest of their lives? Where are their descendants now? Sources include recent academic and highly-researched books and articles, as well as older articles that shine a light on what the refugees have experienced. This research project provides future readers and my HI 241 audience a better understanding of the 1948 crisis in terms of what happened to the thousands of refugees whose lives were so totally upended. Their legacy continues - there are around six million descendants of theirs today whose lives were also impacted by what happened in 1948. Understanding the Nakba and its repercussions on ordinary Palestinians is crucial to understanding the roots of the current Palestinian-Israeli conflict, as well as understanding how humanity has to act and adapt in such tragic circumstances. As this topic sheds so much light on human nature, this context is crucial for forming a well-informed and nuanced point of view – and one that strives to find hope in every dark place."
John Paul Robertson,Honors Scholar,De Amicitia: Friendship in The Iliad and Consolation of Philosophy,"Through an examination of Homer’s Iliad and Boethius’ Consolation of Philosophy, this presentation works to show that humans are intentionally created to participate and share in friendship with God, which can be emulated and brought to fruition through human friendships. The demises of their characters, the Greek Priam and Roman Boethius, can be charted alongside one another, arriving at a shared destination of discerning the source of happiness. Highlighting the contrast in Lady Philosophy's emphasis on happiness deriving from relationship with the steadfast Divine in The Consolation of Philosophy to Aristotle’s argument of happiness being of a nature that can be disposed of by pathos, perspectives surrounding the downfalls of both characters present a point where the importance and impact of friendship must be addressed. Through the reciprocity found within the friendships between humanity and the Divine and humanity and other humans, an argument is formulated that our relationships with the Divine affect and sculpt our relationships with other humans."
Henry Phillip,Nursing,Mobile Health Clinics and Diseases Surveillance,"According to the Centers for Disease Control and Prevention (CDC), “About 46 million Americans—15% of the US population--live in rural areas.” Compared to urban populations, rural areas have a higher prevalence of heart disease, cancer, and chronic lower respiratory disease. The rates of chronic conditions in rural areas are higher because the barriers of transportation availability, expense, limited education, and absence from work or family all must be overcome for healthcare to be received. Mobile health clinics (MHC) are traveling healthcare facilities and may be a solution to the many barriers that prevent rural Americans from receiving healthcare. MHC performs disease prevalence surveillance, medical condition prevention or management education, and disease treatment. There are currently over 414 MHC in the United States, each demonstrating the viability of MHC as a potential tool to improve rural healthcare. The purpose of this evidenced-based practice literature review is to determine whether MHC in rural areas would be effective in increasing the accuracy of disease surveillance rates. Three articles were reviewed and the findings serve as evidence for nurses focused on creating a MHC network in Montana that increases healthcare access and the efficacy of community health practices. MHC provides the opportunity for student nurses to gain experience evaluating patients and expand the impact of the MHC for the staff."
"Ben Mehlhaff, Cam Pruitt",Engineering,"Airport Beacon Replacement in Stanford, MT","Robert Peccia & Associates presented the Carroll College Engineering Design Class an opportunity to perform the engineering design for a replacement airport beacon for Judith Basin County Airport. The project is in Stanford, Montana. We have been asked to provide engineering for replacement of the current beacon, which is supported by a traditional lattice structure with a Tip-down style beacon. The current beacon has exceeded its design life and is no longer serviceable. Our current design calls for either removing the current beacon and placing the new one in the same location or finding a new location near the airport. Currently, the State Historical Preservation Office is evaluating the historical significance of the existing beacon and, therefore, removal of the current structure may not be possible. We are proceeding with our design with the assumption that SHPO will ultimately allow removal and replacement which will allow us to complete our design within the timeline of our senior design course. We selected a tip-down beacon for its lower cost, and lower maintenance difficulty due to the airport manager being a volunteer who lives locally. The smaller profile of the Tip-Down beacon discourages birds from landing and creating nests on the beacon, the reduced waste from birds will reduce maintenance as well. Other than birds there is not much else for environmental factors within this project. It will take only 1-2 weeks of construction for this process to be completed so that part will not take long. We will have the beacon sit on a 10 foot by 10 foot concrete slab on the edge of airport property. While using our cost estimation for the project, we will contact potential subcontractors that have done projects like this before, evaluating those who will do the job for the best price as well as their capability of providing a quality product."
Mariah Moran,Anthrozoology,Zoonotic Risks Involved with Animal-Assisted Care,"Animals have been proven to help human health in various ways, especially when it comes to animal assisted activities. In the last decade animal assisted care opportunities have increased as well as become more defined in the field. With this increased contact between animals and often immune-compromised individuals, more research has been conducted about the potential threat of zoonotic diseases. Comparing the results of multiple studies allows oversight of animal assisted activities including service animals, animal assisted interventions, and the partnership with exotic animals in these roles. With animals being welcomed into human health care the animals first should be held to a health standard for the safety of everyone involved."
Mikenna Deschamps,Health Science,Which material makes the best ACL graft? A systematic review,Objective: To review current literature comparing four different graft materials and their success rate as anterior cruciate ligament (ACL) grafts in surgical patients. Methods: Literature was gathered from the databases CINAHL and PubMed and was reviewed for associations between ACL graft options and their overall success.
"Julia Carr, Olivia Laib, Mason Harwood, Justin Denson, Jordan Bryant, Derek Kramer",Business: Mangement & Marketing,Fleet Management Process Improvement,"Using the Six Sigma Methodology (Define, Measure, Analyze, Improve, Control) and statistical tools, our team is currently working on the General Service Department Fleet Management project for the City of Helena. The department’s current processes are incomplete with missing database content making it difficult to manage their 68 vehicles. Our goal is to provide the most efficient way of tracking the fleet within a database, including items such as the inventory, the rotation of vehicles, titling, service receipts, odometer logs, and vehicle mileage. The purpose of this is to provide the GSD managers with a systematic way of accessing accurate information about their fleet, and more specifically, evidence to the state for the budget they need to provide and maintain their vehicles."
"Kennedy Venner, Isabel Koivu, Hannah Sempf, Connor Sullivan",Elementary & Special Education,Promoting Student Involvement and Self-Determination in Transition Planning for High School Students,"Student involvement in transition planning is essential to increase self-determination and future success. The emphasis on student-led planning, parental influences, and the effects of transition services for students with disabilities enhances this transition. Our research addresses the gap in transition planning that high school students face. We seek to identify optimal strategies to enhance students' self-determination and post-graduation success. We have found the ideal strategies for support by drawing from a variety of perspectives, exploring the goals of students with disabilities during transition planning, and finding the best plan of action for these students. According to research, adolescents with disabilities who participate in transition planning have a higher chance of succeeding as adults. Students with disabilities who do not participate in their transition planning often experience barriers to achieving positive post-school outcomes. To achieve successful post-school outcomes, students and their families can overcome obstacles through effective transition planning. Providing students with opportunities to strengthen their self-determination is essential during the transition planning process. These opportunities focus on critical skills related to college and career readiness, such as problem-solving, ownership of learning, and academic engagement. As future educators, we are responsible for promoting student involvement and self-determination in transition planning. By providing the tools necessary for this process to be successful, we can ensure that those with learning disabilities can have the opportunity to be contributing members of society."
"Emma Pinal, Vicente Ortega",Biology,Influence of Ginkgo biloba on survival and cell cycle regulation in Tetrahymena thermophila under acute stressful conditions,"Ginkgo biloba has been widely used for therapeutic purposes for centuries, especially in Chinese medicine. The supplement, which is extracted from the leaves of the Ginkgo tree, has been used to treat a variety of different ailments, including Dementia, Allergies, and Peripheral Artery Disease; however, the results of its effectiveness as a treatment are inconclusive. In order to test the effectiveness of Ginkgo biloba, we investigated the survival and cell cycle regulation of Tetrahymena thermophila that were subjected to a heat shock stressor. We hypothesized that T. thermophila exposed to acute heat shock would benefit from Ginkgo biloba treatment, as it would promote expression of the genes CDK3 and CDC7, both of which are involved in cell cycle regulation, while improving cell proliferation, metabolic activity, and feeding when compared to untreated cells. To test our hypothesis, T. thermophila cultures that were either treated or untreated with Gingko biloba were placed in an acute heat shock environment of 35 °C for 20 minutes.  Following the heat shock treatment, T. thermophila cultures were maintained for 48 hours before undergoing behavioral assays to measure cell growth, metabolism, and feeding, along with Real Time quantitative Polymerase Chain Reaction (RT-qPCR) to measure expression of CDK3 and CDC7. Given the previously reported protective effects of Ginkgo biloba, we predicted an increase in CDK3 and CDC7 expression in the stressed T. thermophila cultures that were treated with Ginkgo biloba along with an increase in behaviors related to cell growth and metabolism."
Amber Rauser,Nursing,The Effect of Low Nurse Staffing on Patient Outcomes,"In recent years, the topic of adequate nurse staffing has been widely discussed. The American Healthcare Association (AHCA) reported in 2023, that an estimated 100,000 registered nurses (RNs) left their profession as a result of stress/burnout experienced during the pandemic. Furthermore, the report projected a shortage of 200,000 to 450,000 RNs by 2025. The nurses who stay are facing an increased number of patients to care for during a shift. An increased number of patients has multiple negative adverse effects, which include increasing the risk of hospital acquired infections such as pneumonia and sepsis, and in some cases, death. Researchers have concluded the prevalence of a small patient load being incremental in positive patient outcomes, yet hospitals nationwide continue to set the nurse-patient ratios high. In a study of 232,342 surgical patients, from a group of Pennsylvania hospitals, 4,535 died one month after their discharge. The results revealed out of the total number discharged, the difference was estimated to 1,000 deaths when comparing patient-nurse ratios of either 4:1 or 8:1. The need to increase nurse-to-patient ratios is imperative for positive patient outcomes and to reduce the incidence of hospital acquired infections, failure to rescue rates, falls, pressure injuries and death. Appropriate nurse staffing is necessary to maintain safety and quality outcomes. The purpose of this EBP review is to compare low nurse staffing to adequate nurse staffing and the effects of each on patient outcomes."
"Garrett Oleson, Natalie Brown",Environmental Science,"Reconstructing Glaciers in The Anaconda and Flint Ranges, SW Montana","This project aims to reconstruct former glaciers and small ice caps in the Anaconda and Flint Creek Ranges in Southwest Montana, and to use those reconstructions to estimate paleoclimate conditions during the Last Glacial Maximum (LGM) 20,000 yrs ago. While ice sheets encroached from Canada and significant ice caps formed on the Yellowstone Plateau and northern Rocky Mountains, the mountain ranges of western Montana were primarily occupied by valley glaciers and small ice caps. The lowering of regional snowlines during the LGM can be interpreted from reconstructing the extent, elevation, and equilibrium line altitude (ELA) of former glaciers. This project asks the question: can reconstructing maximum glacial extent and associated ELA depression help inform paleoclimate interpretations on a more local scale in SW Montana? Satellite imagery and topographic data were used to map terminal and lateral moraines, erosional trimlines, and to reconstruct glacier surface area and ice thickness. A physical ice flow model (modified for use in  Excel) was used to reconstruct glacial surface profiles. The ELAs of reconstructed LGM glaciers were estimated using accumulation/ablation area ratio and maximum lateral moraine elevation. Preliminary findings suggest a greater lowering of ELA on the east side of these ranges relative to west, and may suggest a more local source of moisture during the LGM. By providing data on glacial extent and snowline on smaller valley glaciers, this work will help fill gaps in regional paleoclimate reconstructions and may provide valuable insight on more localized influences of climate on glacial systems."
"Juliette Crichton, Adisyn O'Connor, Ezekiel Bradbury, Kelly White, Rachel Kaiser",Biochemistry,Synthesizing a Viable Indicator for Staphylococcus Aureus,"The objective of this research project is to synthesize a viable indicator for Staphylococcus aureus (S. aureus) to aid medical professionals in rapid and efficient testing for the bacterial infection it causes in humans. The V-8 protease produced by the bacteria cleaves polypeptide bonds specific to glutamic acid. Therefore, a proposed substrate-dye complex has been established utilizing glutamic acid bound to glycine which is then attached to a dye, 2’,7’-dichlorofluorescein (DCF). When the indicator is intact, glutamic acid quenches DCF and prevents it from fluorescing but when the protease cleaves the peptide bond, the dye glows therefore confirming the presence of S. aureus. The goal of this semester’s work is to bind the components of the dye-amino acid complex together to synthesize the indicator. The process of Fischer esterification will be employed to add protecting groups to the glutamic acid of the dipeptide bond. If the esterification is successful, DCF will then be attached to the dipeptide utilizing aromatic substitution and the indicator can be tested in a culture of S. aureus."
Bersabeh Zellele,Sociology,"Disparities in mental health help-seeking behaviors, and utilization of available resources among individuals of different racial, ethnic, and cultural backgrounds",This research delves into the disparities in mental health help-seeking behaviors and the
Noah Lohar,Chemistry,Application of Thiophene Electrochemistry for Solar Fuels,"Viable and efficient alternative solar fuels have implications from the renewable energy industry to space exploration. The long-range goal of this research is to use visible light to form carbon-carbon bonds via oxidative homocoupling reaction. Thiophene compounds with an alpha-proton were used to investigate the viability of using visible light to drive carbon-carbon bond formation. The synthesis, purification, and characterization of 2-(4-nitrophenyl) thiophene and 5,5'-bis(4-nitrophenyl)-2,2'-bithiophene was achieved. Cyclic Voltammogram (CV) and computational data fitting were used to estimate the kinetic parameters for the electrochemical oxidative homocoupling of thiophene compounds. A lambda max of 345 nm was observed for 2-(4-nitrophenyl) thiophene using UV-vis spectroscopy. Spectroelectrochemical measurements for the oxidation of 2-(4-nitrophenyl) thiophene show a decrease in the absorption at 375 nm and an increase in the absorption band red of 500 nm consistent with an oxidative homocoupling reaction to form 5,5'-bis(4-nitrophenyl)-2,2'-bithiophene."
Anna Brown,English,"Word Relationships: “Amateur,” “Enemy,” “Amorous,” and “Amiable”","Where do words come from? For this project, I look specifically at the words “Amateur,” “Enemy,” “Amorous,” and “Amiable,” to examine their common origin and how they have developed into the words we see today. Most words have origins going back to the Proto-Indo-European language, which is a prehistoric language that was not written down but has been reconstructed. Linguists examine the similarities in different languages to arrive at what must have been the root word. The following project incorporates different languages and their pronunciations and usages of these words as they developed from the Proto-Indo-European word “em.” By looking at word development,  I examine the different ways words can be formed, such as prefix, suffix, metathesis, and semantic shift (or changes in word definitions). Studying word origins is important because it gives insight into how other cultures have influenced our own and what our language has borrowed and pieced together to make the words we speak today."
Stephanie Westlund,Nursing,The Effect of Kangaroo Care on Premature Infant Feeding,"Following premature birth, many infants need to stay in a neonatal intensive care unit (NICU) to receive supportive care due to being underweight and lacking full development that would have been achieved while in utero until full term. Approximately 10% to 15% of babies born in the U.S. every year are admitted to the NICU. The practice of kangaroo care in the NICU can provide many health benefits for neonates. Kangaroo care, also known as skin-to-skin, is the technique of holding a baby, wearing only a diaper, on the bare chest of a parent or care giver. The benefits of kangaroo care include temperature regulation, improved breathing, circulation, sleep and growth, and improve parent baby bonding. The purpose of this Evidence Based research is to assess the effect of kangaroo care on the success of feeding in premature infants in the NICU setting. Nurses can use the outcome of this research to improve feeding in premature infants in the NICU. Improve feeding leads to increased weight gain, shorter time to discharge, shorter transition to entirely enteral feeding, stabilization of vital signs, decreased gastric residual volume, less incidence of vomiting and diarrhea, and overall decreased feeding intolerance."
Leah Manning,Health Science,Effects of Blood Flow Restriction Therapy on ACL Rehabilitation,Objective: To review current literature comparing heavy-load traditional therapy (HLT-T) vs. blood flow restriction therapy (BFR-T) after anterior cruciate ligament (ACL) reconstruction surgery.
"Mila Duncan, Hannah Kolb",Biochemistry,"Examining the Effects of the homeopathic supplement, Nux Vomica, on metabolism in Tetrahymena thermophila","The seeds of the Strychnos Nux-Vomica tree have been used in traditional Chinese medicine for centuries and have carried over to modern homeopathic medicine due to claims that it is a cure-all supplement for everything from liver cancer to hangover relief. Nux vomica's supposed medical benefits are thought to arise from the alkaloids, strychnine, and brucine found within the plant; however, there is little scientific evidence to support these claims. The goal of this research was to determine whether the Nux Vomica supplement would affect metabolism in the model organism, Tetrahymena thermophila. We hypothesized that Nux Vomica would alter expression of the CDK3 and CAM1 genes due to its proposed anti-tumor properties while also affecting cell replication, metabolic rate, and responsiveness to chemical stimulation. The CDK3 gene encodes a protein involved in cell cycle regulation while the CAM1 gene encodes a regulator of cytokinesis that is expressed during cell division. To test our hypothesis, T. thermophila was treated with Nux Vomica for 48 hours before expression of the CAM1 and CDK 3 genes was measured via Real-Time quantitative Polymerase Chain Reaction (RT-qPCR).  The T. thermophila cultures were also subjected to 3 behavioral assays at the end of the treatment period, including cell counting to monitor growth, deciliation to determine metabolic rate, and chemotaxis to analyze chemical responsiveness.  We predicted that exposure to Nux Vomica would result in increased expression of the CDK3 and CAM1 genes, increased metabolic rate and chemical responsiveness, and decreased cell growth."
Erik Muskett,Nursing,De-escalation Training and the Reduction of Physical Restraints,"Physical Restraints (PR) are manual methods that restrict the freedom of movement of patients that are a danger to themselves or others. Although PR are sometimes necessary, they are associated with negative physical and psychological outcomes for patients and the nurses who must apply them. PR can cause pressure injuries, pain, joint dislocation, and more serious problems including pulmonary embolism, asphyxiation, and death. PR can also cause decline in cognitive ability, post-traumatic stress disorder, humiliation, and shame. Further, nurses can be physically assaulted during PR, which increases burnout, sick leave, and impacts their psychological well-being and ability to form therapeutic relationships with patients. The need for proper training that decreases violence and aggression is essential for nurses as 25% report being assaulted by patients. "
"Madelyn Franz, Belle Anselmo",Biology,Exploring the relationship between osteoarthritis and age with global metabolomic profiling,"Age is one of the most prevalent risk factors for osteoarthritis (OA). Prior research has revealed changes in joint tissues within the aging body, including cartilage thinning, a decrease in synovial fluid, increased risk for osteoporosis, and a decrease in bone volume. Factors such as chondrocyte senescence and oxidative stress also change with age and may contribute to OA pathogenesis. Global metabolomic profiling was used to identify metabolic variations in human OA synovial fluid samples below and above the age of 70 to better understand the relationship between age and OA. It was hypothesized that older patients identified with OA would show metabolic profiles that were more distinctly upregulated or downregulated within OA-altered metabolic pathways. Metabolites were extracted from synovial fluid, and identified using LC-MS. The processed data was uploaded into MetaboAnalyst for univariate (fold change) and multivariate (OPLS-DA) statistical analyses. Pathway enrichment analysis was performed on extracted metabolite features from fold change and OPLS-DA to compare age cohorts, as well as all OA samples with healthy samples separately. Across analyses, lysine metabolism was significantly distinct and upregulated within OA patients over 70, and OPLS-DA pathway analysis revealed linoleate metabolism was different between age cohorts. Glutathione, vitamin E, and purine metabolism were also all distinct between age groups. These findings present more specified potential areas for further research to understand how aging processes relate to OA pathogenesis. Clearer understandings of this connection could translate to more tailored treatments based upon age, and more effective preventative measures for OA."
Erin Welter,Gender Studies,An Analysis on Gender Disparity in Healthcare Systems,"This research will delve into the reasoning behind the top gendered healthcare disparities. According to the World Health Organization (WHO), gendered based health inequalities disproportionately affect women and girls due to having a lower status and less control in making decisions regarding their bodies, relationships, families and communities which introduces them to violence, coercion, and harmful practices (Gender and Health, n.d.). The focus of this research will be on the ways in which targets on gender in healthcare are apparent in our society, including high risk factors of sexually transmitted infections, cervical cancer, depression, malnutrition, and others that are apparent in female individuals and other people. I will also incorporate gender theorists and their writings to address these issues. Gender inequality restricts women and girls to healthcare information and services such as mobility restrictions, limitation on decision-making autonomy, constraint to finance access, lowered literacy rates, and discrimination from healthcare providers (Gender and Health, n.d.). The purpose of this study is to address these and more gender-based disparities in healthcare and suggest options to lessen these inequalities."
Thomas McGree,Health Science,Physical Therapy to Treat Benign Paroxysmal Positional Vertigo,"Objective: To review literature regarding canalith repositioning maneuvers (CRP) and their effectiveness in treating patients with benign paroxysmal positional vertigo (BPPV).Methods: PubMed and Google Scholar were used to identify articles included in this systematic review. These studies looked at physical therapy, specifically CRP, and their effects on BPPV.Results: All articles used in this review found that CRP had positive effects in short term resolution of symptoms regarding BPPV. Sufficient evidence was not available to determine whether or not CRP resulted in long-term resolution of BPPV symptoms.Discussion: CRP is an effective treatment method of BPPV with a less likelihood of recurrence compared to not performing these maneuvers. Treating patients during the acute onset of BPPV symptoms showed better results than delaying the rehabilitation process. Physical and other therapists treating BPPV should be encouraged to incorporate CRP into their treatment modalities. Keywords: Benign Paroxysmal Positional Vertigo; physical therapy; effectiveness; canalith repositioning maneuvers"
"Elizabeth Kirby, Elissa Mazkour",Biology,The Impacts of Coenzyme Q10 Supplementation on Metabolism in Tetrahymena thermophila,"Coenzyme Q is an integral component of the electron transport chain and functions by transporting electrons from Complexes I and II to Complex III within the inner mitochondrial membrane. Coenzyme Q10 (CoQ10) is the most common form of Coenzyme Q found in humans and is a popular homeopathic supplement that claims to improve symptoms of degenerative diseases by increasing the efficiency of mitochondrial ATP production. In order to determine whether  CoQ10 increases mitochondrial efficiency in Tetrahymena thermophila, we examined changes in metabolic rate and the expression of genes associated with ATP production. To accomplish this, three independent behavioral assays were performed weekly to assess proliferation rate, energy consumption, and cilia regeneration, all of which are indicators of metabolic rate. Additionally, Reverse Transcription quantitative-Polymerase Chain Reaction (RT-qPCR) was performed weekly to determine the expression of AAC1 and TTHERM_00532800. The AAC1 gene encodes the ADP/ATP transmembrane transporter protein while TTHERM_00532800 encodes the Cytochrome c domain protein of the electron transport chain. As a result of CoQ10 exposure, we predicted that expression of AAC1 and TTHERM_00532800 would be upregulated in T. thermophila due to enhanced mitochondrial efficiency in ATP production. Consequently, we predicted that the CoQ10-exposed T. thermophila would demonstrate greater proliferation, increased energy consumption, and an accelerated metabolic rate."
"Kaitlyn Randle, Gina Leveque-Zapata",Biology,Environmental and Socioeconomic Effects on Chlamydia trichomatis Incidence Rates within Montana,"On any given day, one in five people are actively infected with a sexually transmitted infection (STI). Chlamydia trichomatis is the most common STI, with one in 20 sexually active women being infected. Long term Chlamydia infections can lead to infertility, and even vision loss in the case of eye exposure. We tested for association between socioeconomic status, environmental factors and Chlamydia incidence rates within the 56 counties in Montana. We used county wide, passively surveyed, aggregated data on incidence rates of Chlamydia for the past 10 years. Poverty and education levels were the two socioeconomic variables investigated. We also sought to elucidate the correlation between  various environmental factors that increase Chlamydia incidence. This data was analyzed for correlation by using a linear and multiple linear regression model. The less affluent counties have less access to adequate healthcare and education, which most likely correlates to higher STI incidence rates. The more moderate temperature climates most likely experience higher rates of Chlamydia based on previous research. Based on the colder temperatures at higher elevations, we believe there will be an inverse relationship between elevation and Chlamydia incidence rates. We will present our findings of which factors are significantly associated with Chlamydia incidence rates. Looking at both environmental and socioeconomic factors enables improved identification of at-risk areas and better-targeted preventive and screening efforts in order to decrease the prevalence of Chlamydia within Montana."
"Erica Nessan, Kaden Kastner, Wade Luly",Neuroscience,"Investigating the Effect of Homeopathic NMN on Cognition, Motor Function, and Mood of Drosophila malenogaster","Pure NMN, also known as ?-Nicotinamide Mononucleotide, is a fast-dissolving homeopathic supplement that claims to increase longevity and promote healthy aging. Although previous research found that NMN supplementation positively affects physical activity and cognitive function in humans, there are still significant gaps in our understanding of whether these supplements function as claimed. The goal of the current study was to investigate the effect of NMN supplementation on cognition, motor function, and mood in the model organism, Drosophila melanogaster (fruit flies). It was hypothesized that flies treated with the NMN supplement would exhibit increased motor function, enhanced cognition, and improved mood compared to control flies. To test our hypothesis, behavioral assays were performed on D. melanogaster that were treated with 1.2x10-7 g/mL of homeopathic NMN for one week. Following the treatment, a RING assay was performed to test motor function, a mating assay was performed to measure cognition, and a wall following assay was performed to measure changes in mood. The results of this study showed there was no significant difference in either cognition or mood-related behaviors in D. melanogaster that were treated with NMN; however, the NMN-treated flies did exhibit a significant improvement in motor function. Collectively, these results show that NMN supplementation may improve physical activity; however, further research needs to be performed regarding its claimed effects on cognition and mood."
Addison Ekstrom,Health Science,Blood Flow Restriction Training vs. Non-Occlusive Training in Patients After Anterior Cruciate Ligament Reconstruction: A Systematic Review ,"Objective: To review relevant literature comparing the effects of blood flow restriction training (BFRT) vs. non-occlusive training in patients following anterior cruciate ligament (ACL) reconstruction surgery. Methods: Literature was gathered through PubMed and CINAHL and was reviewed for associations between BFR and patient outcomes after ACL reconstruction. Results: The use of BFRT showed favorable results compared to non-occlusive therapy in restoring knee function. BFR increased muscle hypertrophy, reduced knee joint pain and effusion while exhibiting tolerable use with no major side effects. Conclusions: The postoperative use of BFRT showed promising results for ACL reconstruction patients. The individualized prescription of BFRT should be studied further to be considered as a rehabilitation option for patients following ACL reconstruction."
